date,region,product,revenue,units,cost
2024-01-01,North,Widget A,12500,250,8750
2024-01-01,North,Widget B,8300,166,5810
2024-01-01,South,Widget A,9800,196,6860
2024-01-01,South,Widget B,6200,124,4340
2024-02-01,North,Widget A,13100,262,9170
2024-02-01,North,Widget B,8900,178,6230
2024-02-01,South,Widget A,10200,204,7140
2024-02-01,South,Widget B,6800,136,4760
2024-03-01,North,Widget A,14200,284,9940
2024-03-01,North,Widget B,9500,190,6650
2024-03-01,South,Widget A,11500,230,8050
2024-03-01,South,Widget B,7100,142,4970
2024-04-01,North,Widget A,13800,276,9660
2024-04-01,North,Widget B,9100,182,6370
2024-04-01,South,Widget A,10800,216,7560
2024-04-01,South,Widget B,6900,138,4830
2024-05-01,North,Widget A,15100,302,10570
2024-05-01,North,Widget B,10200,204,7140
2024-05-01,South,Widget A,12000,240,8400
2024-05-01,South,Widget B,7500,150,5250
2024-06-01,North,Widget A,14600,292,10220
2024-06-01,North,Widget B,9800,196,6860
2024-06-01,South,Widget A,11200,224,7840
2024-06-01,South,Widget B,7300,146,5110
